a0410b,a0410c,a0410d,a0410e,a0410f,a0502a,a0502c,a0502d,a0410a,a0404,a0405aa,a0405b,a0406,A0408A,A0408B,A0408C,A0408D,A0408E,a0409,a0409a,a0405m,a0405a,edad,sexo
2,2,2,2,2,2,2,2,1,2,0,0,0,1,3,0,0,0,5,0,0,0,48,1
2,2,2,2,2,2,2,2,2,2,0,0,0,1,3,0,0,0,5,0,0,0,56,2
2,2,2,2,2,2,2,2,2,2,0,0,8,5,0,0,0,0,4,6,0,0,25,1
2,2,2,2,1,1,2,2,2,1,1,2,0,1,0,0,0,0,3,1,0,7,72,1
2,2,2,2,2,2,2,2,2,1,2,0,6,1,2,0,0,0,1,1,0,10,66,2
2,2,2,2,2,2,2,2,1,1,1,3,0,1,2,0,0,0,2,3,0,15,64,1
2,2,2,2,2,2,2,2,2,1,1,1,0,2,0,0,0,0,3,3,0,19,74,2
2,2,2,2,2,2,2,2,2,1,2,0,2,1,0,0,0,0,5,0,0,6,52,2
2,2,2,2,2,2,2,2,2,2,0,0,2,1,2,0,0,0,1,1,0,0,58,1
2,2,2,2,2,2,2,2,2,1,2,0,9,5,0,0,0,0,3,1,99,10,64,2
2,2,2,2,2,2,2,2,1,1,1,1,4,1,3,0,0,0,3,4,3,0,82,2
2,2,2,2,1,2,2,2,1,1,2,0,11,2,0,0,0,0,3,1,10,10,59,2
2,2,2,2,2,2,2,2,1,1,1,1,4,1,0,0,0,0,3,8,11,19,59,2
2,2,2,2,2,2,2,2,1,1,1,2,1,5,0,0,0,0,3,2,10,1,81,1
2,2,2,2,2,2,2,2,2,1,2,0,3,5,0,0,0,0,3,1,0,4,46,2
2,2,2,2,2,2,2,2,2,1,2,0,0,5,0,0,0,0,4,2,0,2,61,1
2,2,2,2,2,2,2,2,2,1,2,0,12,5,0,0,0,0,3,1,0,6,45,2
2,2,2,2,2,1,2,2,2,1,2,0,12,5,0,0,0,0,3,12,0,30,63,1
2,1,2,2,2,1,2,2,2,1,2,0,12,1,0,0,0,0,3,12,0,11,61,1
2,2,2,2,2,2,2,2,2,1,2,0,2,5,0,0,0,0,3,1,0,9,38,1
2,2,2,2,2,2,2,2,2,1,2,0,12,1,0,0,0,0,3,1,0,16,72,2
2,2,2,2,2,2,2,2,2,2,0,0,2,5,0,0,0,0,4,1,0,0,25,1
2,2,2,2,2,2,2,2,2,2,0,0,1,5,0,0,0,0,4,1,0,0,72,1
2,2,2,2,2,2,2,2,2,1,1,1,12,5,0,0,0,0,4,12,0,3,69,2
2,2,2,2,2,2,2,2,2,1,2,0,2,1,3,0,0,0,3,1,6,0,54,2
2,2,2,2,2,2,2,2,1,1,1,1,2,1,3,0,0,0,2,2,0,3,53,1
